func_name,func_type,func_file,func_description,func_icon
Kardia Tables,APP,TableMaintenance.app,Lookup and maintain data in Kardia tables,
Help,APP,Help.app,Online Help,
Preferences,APP,prefs.app,User Preferences and Settings,
Message of the Day,APP,motd_edit.app,Create and Edit Messages of the Day (MOTDs),                                 
Mailing Lists,APP,mlist_maint.app,Manage mailing lists,""                               
Names and Addresses,APP,partner_window.app,Lookup/Maintain/Edit/Add names and addresses,""                                 
Countries,APP,country_maint.app,Manage countries and mailing address formats,                                 
Recent Subscriptions,APP,new_subs.app,Manage recent subscriptions to lists,                                 
Add New Partner,APP,new_partner.app,Add a new name and address,                                 
Mailings Report,RPT,mailing_report.app,"List partners by mailing, state, and zip",                                 
Staff Members,APP,staffmaint.app,Maintain Staff and Missionary Data,                                 
Map View,APP,map.app,Visualize addresses on a map,                                 
Mailings Report (BETA),RPT,mailing_report_test.app,"List partners by mailing, state, and zip",                                 
Labels (BETA),RPT,labels.app,Print labels from a mailing list or for specific partners,                                 
Address Formats,APP,af_maint.app,Maintain sets of address formats,                                 
Security Policy,APP,security_policy.app,Setup users and permissions for Kardia,                                 
