func_name,func_type,func_file,func_description,func_icon
Donation Summary,RPT,donation_summary.app,Summary of Donations for a Period,
Admin Fee Summary,RPT,admin_fee_summary.app,Summary of Admin Fees for a Period,
Admin Fees for Funds,APP,cc_admin_fee.app,Manage Admin Fees for Specific Funds,                                 
Admin Fee Types,APP,admin_types.app,Maintain Admin Fee Types and Schedules,                                 
Receipts Batches,APP,cr_batches.app,Manage and Post Cash Receipts Batches,                                 
Donation Detail,RPT,donation_detail.app,Donation Detail by Batch or Period,                                 
Gift History Search,APP,gift_history.app,Lookup a donor's gift history,""                               
Fund Gift/Donor List,RPT,fund_gift_list.app,Print reports of donor and gift lists for a period for a given fund,""                
Mailings for Gifts,RPT,monthly_gift_list.app,Lists a month's donors and what mailings they are subscribed to,""                                         
Periodic Giving Statement,RPT,annual_statement.app,Print an Periodic Giving Statement for a Donor,                                 
Donor Report (old),RPT,donor_report.app,"List Donors by gift totals, Funds, Accounts, and Locations",""                         
Donor Report,RPT,donor_report_test.app,"List Donors by gift totals, Funds, Accounts, and Locations",""                                      
Receipt/Statement Types,APP,receipt_types.app,Add and Update Receipt Types,""                     
Gift Import,APP,gift_import.app,"Import gift data from external services",                             
Deposits Batches,APP,de_batches.app,Manage and Post Deposits Batches,                                 
Deposits Summary,RPT,deposit_summary.app,Summary of Deposits for a Period,                                 
Gift Import Report,RPT,gift_import_report.app,Detail report of gift import data for a period,                                 
