GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLONG,INTPTLAT
00601,166659789,799296,64.348,0.309,-66.749961,18.180555
00602,79288158,4446273,30.613,1.717,-67.17613,18.362268
00603,81880442,183425,31.614,0.071,-67.119887,18.455183
00606,109580061,12487,42.309,0.005,-66.932911,18.158345
00610,93021467,4172001,35.916,1.611,-67.125868,18.290955
00612,175106243,9809163,67.609,3.787,-66.7114,18.402239
00616,29870473,149147,11.533,0.058,-66.671979,18.420412
00617,39347158,3987969,15.192,1.54,-66.559696,18.445147
00622,75077028,1694917,28.987,0.654,-67.153993,17.991245
00623,98367847,1633540,37.98,0.631,-67.153877,18.083435
00624,111791516,2524878,43.163,0.975,-66.715966,18.063275
00627,120058334,3507026,46.355,1.354,-66.861879,18.41503
00631,10414662,669970,4.021,0.259,-66.832041,18.190607
00637,89226022,25323,34.45,0.01,-66.947389,18.076713
00638,171055117,493335,66.045,0.19,-66.513306,18.291088
00641,242237480,3466212,93.528,1.338,-66.71402,18.262962
00646,53611823,3321248,20.7,1.282,-66.285941,18.433167
00647,39379804,8013314,15.205,3.094,-66.947127,17.963613
00650,79052810,557181,30.522,0.215,-66.578079,18.349416
00652,17906137,16436,6.914,0.006,-66.603113,18.451934
00653,39477273,5203941,15.242,2.009,-66.888933,17.985452
00656,83968290,4356121,32.42,1.682,-66.792931,18.053539
00659,108211415,3039180,41.781,1.173,-66.809008,18.407222
00660,29380814,486,11.344,0,-67.116158,18.134644
00662,114907988,5341043,44.366,2.062,-67.015974,18.467481
00664,117897373,3405,45.52,0.001,-66.589613,18.213419
00667,156201164,28264208,60.31,10.913,-67.03581,18.003422
00669,159419203,168344,61.552,0.065,-66.866375,18.270899
00670,118025360,357819,45.57,0.138,-66.990114,18.236832
00674,116400264,6903390,44.942,2.665,-66.489337,18.422908
00676,130636635,56483,50.439,0.022,-67.080344,18.377751
00677,37137111,3594951,14.339,1.388,-67.227006,18.33256
00678,68274095,3796687,26.361,1.466,-66.927384,18.434099
00680,166248984,19828643,64.189,7.656,-67.133802,18.181938
00682,37348163,6330100,14.42,2.444,-67.156062,18.221443
00683,135168308,29361,52.189,0.011,-67.037263,18.1078
00685,200808224,2058239,77.532,0.795,-66.959875,18.332927
00687,100675764,140026,38.871,0.054,-66.418034,18.318386
00688,82401202,77467,31.815,0.03,-66.626438,18.382264
00690,7291346,12393,2.815,0.005,-67.098671,18.49551
00692,69307906,1999296,26.76,0.772,-66.336556,18.410188
00693,101838924,3653903,39.32,1.411,-66.39723,18.423024
00694,2043548,1957116,0.789,0.756,-66.391079,18.48237
00698,180309254,7761848,69.618,2.997,-66.856319,18.064848
00703,76855070,28384,29.674,0.011,-66.130662,18.248401
00704,12627769,1773833,4.876,0.685,-66.219555,17.96577
00705,82748292,72306,31.949,0.028,-66.266683,18.128961
00707,54561503,3816670,21.066,1.474,-65.920712,18.013648
00714,37859151,42765,14.618,0.017,-66.042943,18.000198
00715,20434129,150234,7.89,0.058,-66.560065,18.011233
00716,22081777,7967534,8.526,3.076,-66.607542,17.990567
00717,5417561,109099,2.092,0.042,-66.614037,18.003222
00718,117172329,3457285,45.24,1.335,-65.759623,18.231988
00719,72527843,898356,28.003,0.347,-66.25344,18.289927
00720,154368018,286519,59.602,0.111,-66.428076,18.217946
00723,119554076,1319657,46.16,0.51,-66.015578,18.043822
00725,109190812,1190612,42.159,0.46,-66.042375,18.218819
00727,55827071,26963,21.555,0.01,-66.073565,18.215308
00728,40524719,21618806,15.647,8.347,-66.664116,17.989853
00729,87958918,364682,33.961,0.141,-65.885142,18.329829
00730,16850026,123834,6.506,0.048,-66.616838,18.030831
00731,123332268,3082106,47.619,1.19,-66.634653,18.108039
00735,60362550,1842364,23.306,0.711,-65.682494,18.252604
00736,142701655,79564,55.097,0.031,-66.151667,18.103624
00738,76243980,78712514,29.438,30.391,-65.698711,18.304458
00739,81792808,1113746,31.58,0.43,-66.160577,18.177265
00740,1103423,40886,0.426,0.016,-65.63412,18.33116
00741,6121151,2792707,2.363,1.078,-65.754021,18.163745
00745,133676216,6155023,51.613,2.376,-65.817813,18.35284
00751,121664561,29378177,46.975,11.343,-66.252183,18.001317
00754,132164302,241740,51.029,0.093,-65.976289,18.14713
00757,77246859,5609947,29.825,2.166,-66.391334,17.995441
00765,49309561,1749411,19.039,0.675,-65.439369,18.130096
00766,103701762,3739022,40.039,1.444,-66.476916,18.133196
00767,143501366,6805011,55.406,2.627,-65.89649,18.069413
00769,198168393,38999,76.513,0.015,-66.357586,18.1038
00771,87591047,32514,33.819,0.013,-65.871196,18.187201
00772,37975532,13639704,14.662,5.266,-65.905174,18.438969
00773,62964008,2572484,24.311,0.993,-65.726378,18.343799
00775,27344697,33437932,10.558,12.91,-65.295977,18.327485
00777,68844419,327723,26.581,0.127,-65.908542,18.224133
00778,76776403,1116806,29.644,0.431,-65.979078,18.263023
00780,52032587,838321,20.09,0.324,-66.568105,18.102834
00782,69008763,319734,26.644,0.123,-66.221633,18.225708
00783,108382318,16292,41.847,0.006,-66.326179,18.30391
00784,143887987,16278766,55.555,6.285,-66.133613,18.010721
00786,666250,0,0.257,0,-66.229907,18.155424
00791,95711037,2868576,36.954,1.108,-65.821487,18.136752
00794,91419799,77809,35.297,0.03,-66.309782,18.199014
00795,119811901,958123,46.26,0.37,-66.499473,18.060532
00901,2534091,30548,0.978,0.012,-66.104723,18.465424
00906,8247,0,0.003,0,-66.094995,18.46446
00907,3132947,347421,1.21,0.134,-66.078113,18.452679
00909,1575598,49304,0.608,0.019,-66.067132,18.44161
00911,1245504,0,0.481,0,-66.056223,18.451128
00912,854044,0,0.33,0,-66.060139,18.445289
00913,843188,0,0.326,0,-66.042664,18.44997
00915,3601480,820884,1.391,0.317,-66.045571,18.437179
00917,3360017,46991,1.297,0.018,-66.050105,18.420674
00918,5520556,101247,2.131,0.039,-66.065789,18.421022
00920,7331380,135936,2.831,0.052,-66.088042,18.414292
00921,6931388,0,2.676,0,-66.088552,18.392273
00923,5283986,7303,2.04,0.003,-66.038888,18.409307
00924,12143485,1620,4.689,0.001,-66.012452,18.399196
00925,1158082,0,0.447,0,-66.050602,18.400296
00926,62575083,1052384,24.16,0.406,-66.051545,18.3454
00927,6804165,5831,2.627,0.002,-66.072098,18.387953
00934,1940428,26786,0.749,0.01,-66.124234,18.411313
00936,417955,0,0.161,0,-66.073772,18.395463
00949,45604190,2130451,17.608,0.823,-66.212833,18.430696
00950,6204986,1989345,2.396,0.768,-66.234559,18.463692
00951,1075640,29541,0.415,0.011,-66.253789,18.42753
00952,3207681,0,1.238,0,-66.182032,18.427441
00953,69144842,1365378,26.697,0.527,-66.251526,18.360727
00956,68564483,215310,26.473,0.083,-66.168891,18.319539
00957,11965797,1407,4.62,0.001,-66.187693,18.368533
00959,16609667,81790,6.413,0.032,-66.154999,18.388924
00960,2409664,2485,0.93,0.001,-66.145795,18.416919
00961,13367398,205470,5.161,0.079,-66.165168,18.41223
00962,9876249,1152266,3.813,0.445,-66.145357,18.442299
00965,1689483,342594,0.652,0.132,-66.114752,18.433757
00966,8401213,4490,3.244,0.002,-66.117584,18.401536
00968,1180763,0,0.456,0,-66.101223,18.406077
00969,12622328,39797,4.874,0.015,-66.108062,18.368062
00971,41324409,94183,15.955,0.036,-66.119215,18.318832
00976,43356810,738172,16.74,0.285,-65.994057,18.336408
00979,4061150,504754,1.568,0.195,-66.030129,18.444389
00982,3654231,19111,1.411,0.007,-65.992045,18.411261
00983,8987630,622892,3.47,0.24,-65.97707,18.418007
00985,21083058,759741,8.14,0.293,-65.946933,18.408588
00987,64272333,453240,24.816,0.175,-65.941083,18.338161
01001,29635470,2229770,11.442,0.861,-72.628274,42.062332
01002,142556362,4280260,55.041,1.653,-72.458507,42.363977
01003,1842384,12788,0.711,0.005,-72.524108,42.389941
01005,114586903,667042,44.242,0.258,-72.106598,42.418848
01007,136345999,6943853,52.643,2.681,-72.400468,42.27901
01008,139331467,5086093,53.796,1.964,-72.957325,42.191846
01009,2065002,23,0.797,0,-72.341433,42.211969
01010,89982811,1420260,34.743,0.548,-72.205302,42.129477
01011,81884563,342573,31.616,0.132,-72.968716,42.300281
01012,33977749,545075,13.119,0.21,-72.858192,42.375425
01013,14567022,1731910,5.624,0.669,-72.602804,42.154904
01020,32308345,1178303,12.474,0.455,-72.561835,42.172698
01022,12322151,2118,4.758,0.001,-72.542713,42.197741
01026,62170236,332515,24.004,0.128,-72.918267,42.465495
01027,104896540,1189669,40.501,0.459,-72.751877,42.295008
01028,33686035,181933,13.006,0.07,-72.501234,42.059614
01029,41047358,5315012,15.848,2.052,-73.044647,42.193395
01030,30736637,469718,11.867,0.181,-72.686972,42.072925
01031,20959213,0,8.092,0,-72.19819,42.329398
01032,30481491,887372,11.769,0.343,-72.81478,42.457613
01033,72068288,667254,27.826,0.258,-72.500034,42.244958
01034,185271061,5014353,71.534,1.936,-72.961272,42.098207
01035,59791827,3939738,23.086,1.521,-72.568576,42.356482
01036,50521716,105963,19.507,0.041,-72.417297,42.062946
01037,34391428,235915,13.279,0.091,-72.18871,42.367961
01038,25893889,2245685,9.998,0.867,-72.606929,42.385496
01039,34206722,595533,13.207,0.23,-72.688922,42.404278
01040,55116741,4025645,21.281,1.554,-72.642448,42.211656
01050,99270932,2581121,38.329,0.997,-72.869693,42.28675
01053,13289904,251888,5.131,0.097,-72.713584,42.356301
01054,59071058,425618,22.807,0.164,-72.484502,42.469588
01056,70460584,2836425,27.205,1.095,-72.459078,42.188865
01057,116307957,1607537,44.907,0.621,-72.321494,42.093596
01060,28276974,3261695,10.918,1.259,-72.630588,42.321488
01062,47018995,396854,18.154,0.153,-72.703923,42.328314
01063,100502,0,0.039,0,-72.63853,42.318882
01066,1839260,121053,0.71,0.047,-72.655018,42.406903
01068,53949370,1008115,20.83,0.389,-72.044248,42.350862
01069,72688936,766584,28.065,0.296,-72.308469,42.187794
01070,53200760,594033,20.541,0.229,-72.919017,42.518446
01071,40349276,803435,15.579,0.31,-72.873853,42.16006
01072,52021993,1342210,20.086,0.518,-72.417244,42.456968
01073,72913678,2077741,28.152,0.802,-72.741588,42.226949
01074,220752,52379,0.085,0.02,-72.09323,42.387603
01075,45888980,1773571,17.718,0.685,-72.580763,42.256346
01077,79825932,2153492,30.821,0.831,-72.777353,42.05257
01079,2921898,108238,1.128,0.042,-72.32702,42.197424
01080,4473453,258220,1.727,0.1,-72.365654,42.182218
01081,37544477,568325,14.496,0.219,-72.234411,42.061313
01082,119411357,16183211,46.105,6.248,-72.278599,42.293533
01083,40871193,156824,15.78,0.061,-72.194599,42.203642
01084,23821014,222863,9.197,0.086,-72.882235,42.39237
01085,155258467,2964576,59.946,1.145,-72.771602,42.153503
01086,96152,0,0.037,0,-72.793967,42.130446
01088,13468904,36984,5.2,0.014,-72.646494,42.391709
01089,43286505,2094117,16.713,0.809,-72.649734,42.125451
01092,17359776,80681,6.703,0.031,-72.235108,42.191868
01093,13063805,16741,5.044,0.006,-72.654963,42.435121
01094,2942290,169907,1.136,0.066,-72.1368,42.359108
01095,58570047,581247,22.614,0.224,-72.427404,42.127327
01096,82059161,532858,31.683,0.206,-72.763572,42.39714
01097,4426154,208868,1.709,0.081,-72.832612,42.178038
01098,81200703,384439,31.352,0.148,-72.943115,42.394315
01103,1191989,205067,0.46,0.079,-72.592027,42.104106
01104,13509560,212850,5.216,0.082,-72.565378,42.134009
01105,3219040,306964,1.243,0.119,-72.577579,42.095207
01106,24090566,1331605,9.301,0.514,-72.57113,42.047565
01107,3903756,89142,1.507,0.034,-72.607068,42.12106
01108,9643254,406401,3.723,0.157,-72.560791,42.080692
01109,14094949,487865,5.442,0.188,-72.549726,42.119674
01118,9312203,260877,3.595,0.101,-72.525905,42.093732
01119,9194297,241739,3.55,0.093,-72.51121,42.124978
01128,2892857,1287,1.117,0,-72.489135,42.092296
01129,8867992,237886,3.424,0.092,-72.487401,42.119062
01151,6134290,464565,2.368,0.179,-72.509131,42.15186
01199,28277,0,0.011,0,-72.604468,42.120563
01201,137058017,6752938,52.918,2.607,-73.273727,42.448236
01220,63689337,204142,24.591,0.079,-73.116736,42.623799
01222,8565484,333235,3.307,0.129,-73.322175,42.058703
01223,180653860,5294145,69.751,2.044,-73.110124,42.312225
01224,720507,82246,0.278,0.032,-73.195594,42.513356
01225,65025449,1821072,25.106,0.703,-73.153566,42.563363
01226,68319649,366617,26.378,0.142,-73.135073,42.481119
01229,1897309,1745,0.733,0.001,-73.335896,42.276338
01230,237032746,4530189,91.519,1.749,-73.324463,42.172941
01235,118213863,2794609,45.643,1.079,-73.064073,42.43062
01236,12437975,157895,4.802,0.061,-73.378393,42.266496
01237,160121626,1140685,61.823,0.44,-73.268033,42.547818
01238,90217712,2706357,34.833,1.045,-73.230148,42.297501
01240,55374233,1159162,21.38,0.448,-73.269768,42.367862
01242,1288423,24934,0.497,0.01,-73.249199,42.333734
01243,48306686,57277,18.651,0.022,-73.024112,42.350122
01244,6345198,70886,2.45,0.027,-73.257497,42.118094
01245,72467551,2047530,27.98,0.791,-73.223105,42.186893
01247,136035510,1480109,52.524,0.571,-73.08409,42.698437
01253,47310437,1044523,18.267,0.403,-73.113214,42.206683
01254,37713379,147081,14.561,0.057,-73.365492,42.382019
01255,134177247,3047061,51.806,1.176,-73.118607,42.107496
01256,92838285,452299,35.845,0.175,-73.02232,42.594166
01257,93848678,2221979,36.235,0.858,-73.367482,42.085245
01258,66839821,399664,25.807,0.154,-73.462886,42.10928
01259,65593267,2042077,25.326,0.788,-73.234376,42.075469
01260,6503634,101867,2.511,0.039,-73.342543,42.295696
01262,31167340,2127685,12.034,0.822,-73.319209,42.292202
01264,29425420,90081,11.361,0.035,-73.202428,42.23159
01266,67473737,780772,26.052,0.301,-73.387824,42.312338
01267,141293372,342660,54.554,0.132,-73.246981,42.671616
01270,82512104,420829,31.858,0.162,-73.031166,42.515272
01301,66020418,1388444,25.491,0.536,-72.60153,42.626761
01330,86313800,631880,33.326,0.244,-72.821517,42.513947
01331,137844144,3586460,53.222,1.385,-72.19108,42.562408
01337,96405836,165266,37.223,0.064,-72.582249,42.689307
01338,8946607,12299,3.454,0.005,-72.824428,42.572652
01339,142392158,630079,54.978,0.243,-72.889644,42.603776
01340,114430561,658628,44.182,0.254,-72.711079,42.694726
01341,92426089,465179,35.686,0.18,-72.709414,42.496937
01342,46190734,2211971,17.834,0.854,-72.609458,42.543889
01343,12615499,76887,4.871,0.03,-72.978931,42.657625
01344,35313664,1342460,13.635,0.518,-72.426427,42.613418
01346,54379277,99661,20.996,0.038,-72.823113,42.693275
01347,1495232,221070,0.577,0.085,-72.518753,42.559294
01349,19874430,573426,7.674,0.221,-72.482122,42.563061
01350,27768017,274112,10.721,0.106,-72.985346,42.727772
01351,54198079,1126552,20.926,0.435,-72.521689,42.53988
01354,35647707,2665409,13.764,1.029,-72.508643,42.624076
01355,122713549,35676837,47.38,13.775,-72.327219,42.458522
01360,88796644,2812794,34.285,1.086,-72.453876,42.677091
01364,101602863,2854976,39.229,1.102,-72.289902,42.615152
01366,104649746,1453531,40.405,0.561,-72.192468,42.475621
01367,68727436,1770127,26.536,0.683,-72.909148,42.695532
01368,108369099,1829133,41.842,0.706,-72.176935,42.679456
01370,129031063,1398461,49.819,0.54,-72.726941,42.593338
01373,62576781,1471565,24.161,0.568,-72.615612,42.473862
01375,36856254,1349204,14.23,0.521,-72.546855,42.466762
01376,7149877,1465720,2.761,0.566,-72.555002,42.59528
01378,88114809,812951,34.021,0.314,-72.353213,42.673533
01379,78233305,962449,30.206,0.372,-72.407148,42.55631
01420,78520256,1778875,30.317,0.687,-71.816862,42.584925
01430,95807807,6750019,36.992,2.606,-71.923442,42.657005
01431,61389725,1002029,23.703,0.387,-71.832523,42.676293
01432,21888062,1219817,8.451,0.471,-71.575135,42.566573
01434,13678208,401234,5.281,0.155,-71.611613,42.539088
01436,24849921,506517,9.595,0.196,-72.088395,42.603374
01438,1403430,48435,0.542,0.019,-72.031402,42.562243
01440,62268795,2487879,24.042,0.961,-71.988062,42.586516
01450,84853731,2575943,32.762,0.995,-71.565269,42.61176
01451,49550919,1682988,19.132,0.65,-71.568201,42.501908
01452,106373488,2406515,41.071,0.929,-72.002878,42.489598
01453,73735859,1369889,28.47,0.529,-71.763075,42.51996
01460,42791669,2583059,16.522,0.997,-71.490569,42.535931
01462,68579436,3269933,26.479,1.263,-71.720464,42.582607
01463,58533407,1546295,22.6,0.597,-71.602858,42.670643
01464,38884871,204034,15.014,0.079,-71.640986,42.573654
01467,4908783,28882,1.895,0.011,-71.609303,42.492367
01468,55425624,688465,21.4,0.266,-72.068345,42.542767
01469,59261468,606711,22.881,0.234,-71.695333,42.665059
01473,91766611,4719705,35.431,1.822,-71.90544,42.5546
01474,25690700,78185,9.919,0.03,-71.752751,42.669685
01475,110986284,2716014,42.852,1.049,-72.055644,42.66816
01501,40018190,2420118,15.451,0.934,-71.846006,42.198708
01503,33598202,523984,12.972,0.202,-71.633889,42.384929
01504,28685128,819182,11.075,0.316,-71.532406,42.039991
01505,41598694,9562396,16.061,3.692,-71.716157,42.355049
01506,40266781,2729462,15.547,1.054,-72.107473,42.181793
01507,109254326,4179167,42.183,1.614,-71.968025,42.133935
01510,14645926,4178501,5.655,1.613,-71.690005,42.411887
01515,25514944,1433058,9.851,0.553,-72.040178,42.209682
01516,95201650,4019691,36.758,1.552,-71.752241,42.053072
01518,22976455,1925342,8.871,0.743,-72.118818,42.127477
01519,28261149,279201,10.912,0.108,-71.679739,42.203404
01520,46830036,1794650,18.081,0.693,-71.850626,42.336372
01521,31841683,1990803,12.294,0.769,-72.180149,42.046798
01522,42419059,1399750,16.378,0.54,-71.867382,42.375634
01523,65263989,1138106,25.199,0.439,-71.675513,42.482819
01524,41375156,2508035,15.975,0.968,-71.919217,42.249603
01525,1162429,81164,0.449,0.031,-71.630518,42.106794
01527,40323227,1862226,15.569,0.719,-71.777649,42.192246
01529,12706301,151536,4.906,0.059,-71.578779,42.036642
01531,53842961,405495,20.789,0.157,-72.130814,42.319125
01532,47852201,705487,18.476,0.272,-71.646236,42.323342
01534,22682354,325730,8.758,0.126,-71.643348,42.142074
01535,55084070,1759511,21.268,0.679,-72.066876,42.267564
01536,21598203,755400,8.339,0.292,-71.692642,42.231309
01537,18085937,295745,6.983,0.114,-71.897051,42.158966
01540,50128319,2048507,19.355,0.791,-71.857369,42.116167
01541,91709834,1032231,35.409,0.399,-71.87754,42.454125
01542,10426627,422661,4.026,0.163,-71.908907,42.204251
01543,90918826,2972193,35.104,1.148,-71.970514,42.388977
01545,53712526,2715591,20.739,1.048,-71.714228,42.284767
01550,52512755,1627401,20.275,0.628,-72.03404,42.059669
01560,9238873,270445,3.567,0.104,-71.674223,42.175395
01561,319273,0,0.123,0,-71.685583,42.44397
01562,85038323,3036877,32.833,1.173,-71.991867,42.247211
01564,79343448,2761462,30.635,1.066,-71.776045,42.447924
01566,73430539,2562230,28.352,0.989,-72.079545,42.103214
01568,55529918,593264,21.44,0.229,-71.603588,42.176526
01569,75315947,1580796,29.08,0.61,-71.631294,42.055892
01570,32048670,5780810,12.374,2.232,-71.846952,42.047532
01571,53915863,2717076,20.817,1.049,-71.935075,42.053778
01581,53312878,2229292,20.584,0.861,-71.613309,42.268426
01583,32672267,2354742,12.615,0.909,-71.785036,42.369417
01585,66174237,1669484,25.55,0.645,-72.162645,42.240796
01588,22296389,1660430,8.609,0.641,-71.671822,42.119228
01590,82903473,4181050,32.009,1.614,-71.750318,42.132051
01602,14936885,631588,5.767,0.244,-71.849991,42.271563
01603,11691789,340396,4.514,0.131,-71.843925,42.244637
01604,16677756,474175,6.439,0.183,-71.767957,42.253254
01605,14612620,341309,5.642,0.132,-71.787793,42.289683
01606,15358057,24039,5.93,0.009,-71.795741,42.315249
01607,8199220,136988,3.166,0.053,-71.78891,42.22596
01608,1159110,0,0.448,0,-71.801462,42.26198
01609,9893464,56961,3.82,0.022,-71.829987,42.285114
01610,5505953,9032,2.126,0.003,-71.808366,42.247049
01611,8915204,647961,3.442,0.25,-71.875838,42.237604
01612,39666695,1982438,15.315,0.765,-71.929607,42.296636
01701,43923156,1816225,16.959,0.701,-71.440409,42.320169
01702,20957508,1972446,8.092,0.762,-71.43676,42.282576
01718,121367,0,0.047,0,-71.429283,42.519816
01719,26640078,316293,10.286,0.122,-71.520985,42.485985
01720,51057015,1113826,19.713,0.43,-71.438495,42.483953
01721,31933385,1395841,12.33,0.539,-71.473526,42.257755
01730,35478046,460820,13.698,0.178,-71.281905,42.499331
01731,2049705,0,0.791,0,-71.279484,42.456748
01740,51675247,348786,19.952,0.135,-71.601876,42.439937
01741,39536091,641968,15.265,0.248,-71.361832,42.53662
01742,63296150,3384588,24.439,1.307,-71.364496,42.462911
01745,1033541,3023,0.399,0.001,-71.499163,42.293073
01746,48288456,1071734,18.644,0.414,-71.45343,42.195951
01747,13392801,443995,5.171,0.171,-71.533416,42.12408
01748,68016796,4215056,26.261,1.627,-71.540484,42.224104
01749,29841347,890275,11.522,0.344,-71.545864,42.389071
01752,54041301,3200938,20.865,1.236,-71.547214,42.349617
01754,13502214,407075,5.213,0.157,-71.456256,42.425955
01756,46035300,552653,17.774,0.213,-71.544902,42.09447
01757,38538162,711615,14.88,0.275,-71.521419,42.158692
01760,38359306,2599042,14.811,1.003,-71.348811,42.284822
01770,40966896,961380,15.817,0.371,-71.37469,42.23357
01772,35264800,3918373,13.616,1.513,-71.530828,42.302877
01773,35266029,2003417,13.616,0.774,-71.310812,42.425506
01775,44839702,1739781,17.313,0.672,-71.512514,42.429688
01776,62778117,1244383,24.239,0.48,-71.42107,42.383367
01778,39388852,2080227,15.208,0.803,-71.381186,42.343687
01801,32769438,806847,12.652,0.312,-71.154425,42.488659
01803,30291646,324832,11.696,0.125,-71.201713,42.503227
01810,79897507,3425223,30.849,1.322,-71.161751,42.648044
01821,42910631,1026154,16.568,0.396,-71.251725,42.54933
01824,45964727,1008300,17.747,0.389,-71.355182,42.59079
01826,53421277,1706647,20.626,0.659,-71.30068,42.679723
01827,42620556,784744,16.456,0.303,-71.500517,42.676078
01830,35735901,3350990,13.798,1.294,-71.053436,42.796313
01832,29420960,1250817,11.359,0.483,-71.132859,42.791114
01833,33307258,750803,12.86,0.29,-70.982034,42.727885
01834,23008816,1330583,8.884,0.514,-71.015935,42.7539
01835,20235250,2287169,7.813,0.883,-71.094242,42.751157
01840,1290418,200628,0.498,0.077,-71.160403,42.706763
01841,8000223,462412,3.089,0.179,-71.164873,42.712015
01843,8726317,579700,3.369,0.224,-71.160383,42.689974
01844,57543453,2042287,22.218,0.789,-71.178588,42.742751
01845,68133522,3720537,26.307,1.437,-71.091334,42.673909
01850,3521737,305905,1.36,0.118,-71.303309,42.656045
01851,8645533,115440,3.338,0.045,-71.33533,42.627812
01852,12828750,627353,4.953,0.242,-71.295785,42.631849
