table,Value,Text,Description,AltField
_p_record_status,A,Active,,
_p_record_status,U,Unknown,,
_p_record_status,X,Unknown,,Use U.  This here until database rebuilt
_p_record_status,M,Merged,Two records have been merged.  This is no longer used.,
_p_record_status,O,Obsolete,,
_p_contact_type,E,Email,,
_p_contact_type,F,Fax,,
_p_contact_type,C,Cell,,
_p_contact_type,P,Phone,,
_p_contact_type,W,Web,Webpage,
_p_contact_type,B,Blog,Blog url,
_p_contact_type,S,Skype,,
_p_location_type,H,Home,,
_p_location_type,W,Work,,
_p_location_type,V,Vacation,,
_p_location_type,S,School,,
_p_partner_class,IND,Individual,
_p_partner_class,CHU,Church,
_p_partner_class,ORG,Organization,
_p_partner_class,MIS,Mission,
_p_partner_class,SCH,School,
_p_partner_class,FOU,Foundation,
_p_partner_class,BUS,Business,
_p_partner_class,BUC,Christian Business,
_p_partner_class,FIE,Field,
_p_partner_class,CLI,Client,
_p_partner_gender,M,Male,
_p_partner_gender,F,Female,
_p_partner_gender,C,Couple,
_p_partner_gender,O,Other,"Organization, etc"
_p_postal_status,K,Addressee Unknown,
_p_postal_status,F,Forwarding Expired,
_p_postal_status,N,No # or address,,
_p_postal_status,U,Undeliverable,,
_p_postal_status,X,Other,,
_p_postal_status,C,C,,
_p_relation_type,S,Sibling,,S
_p_relation_type,P,Parent,,C
_p_relation_type,F,Friend,,F
_p_relation_type,M,Member,,
_p_relation_type,S,Staff,,
_p_status_code,A,Active,,
_p_status_code,X,Removed,,
_p_status_code,D,Deceased,,
_p_status_code,O,Obsolete,,
_p_marital_status,M,Married,,
_p_marital_status,S,Single,,
_p_marital_status,U,Unknown,,
_p_marital_status,O,Other,(organization, etc),
_p_bulk_postal_code,L801,AADC letter size,AADC Standard Mail Bulk - letter size,
_p_bulk_postal_code,L009,Mixed ADCs,Periodicals-Standard Mail-Package Services Flats-Irregular Parcels,
_a_account_type,A,Asset,,
_a_account_type,L,Liability,,
_a_account_type,Q,Equity,,
_a_account_type,R,Revenue,,
_a_account_type,E,Expense,,
_a_period_status,N,Never Opened,,
_a_period_status,O,Open,,
_a_period_status,C,Closed,,
_a_period_status,A,Archived,,
_a_gift_type,C,Cash,,
_a_gift_type,K,Check,,
_a_gift_type,D,Credit Card,,
_a_gift_type,E,EFT,,
_a_payroll_interval,0,Misc,,
_a_payroll_interval,1,Daily,,
_a_payroll_interval,2,Weekly,,
_a_payroll_interval,3,Biweekly,,
_a_payroll_interval,4,Semimonthly,,
_a_payroll_interval,5,Monthly,,
_a_payroll_interval,6,ALL,,
_a_restricted_type,N,Not Restricted,,
_a_restricted_type,T,Temporarily Restricted,,
_a_restricted_type,P,Permanently Restricted,,
_a_alphabet,A,,,
_a_alphabet,B,,,
_a_alphabet,C,,,
_a_alphabet,D,,,
_a_alphabet,E,,,
_a_alphabet,F,,,
_a_alphabet,G,,,
_a_alphabet,H,,,
_a_alphabet,I,,,
_a_alphabet,J,,,
_a_alphabet,K,,,
_a_alphabet,L,,,
_a_alphabet,M,,,
_a_alphabet,N,,,
_a_alphabet,O,,,
_a_alphabet,P,,,
_a_alphabet,Q,,,
_a_alphabet,R,,,
_a_alphabet,S,,,
_a_alphabet,T,,,
_a_alphabet,U,,,
_a_alphabet,V,,,
_a_alphabet,W,,,
_a_alphabet,X,,,
_a_alphabet,Y,,,
_a_alphabet,Z,,,
_s_process,A1,Create Balancing Entries,,
_s_process,A2,Verify Journal Balance,,
_s_process,A3,Verify Cost Ctr Balance,,
_s_process,A4,Verify Acct 1900 Balance,,
_s_process,A5,Post Batch,,
_s_process,P1,Select Payroll Period,,
_s_process,P2,Create Monthly Data,,
_s_process,P3,Review Payroll Data,,
_s_process,P4,Create GL Batch,,
_a_receipt_type,I,Immediate,,
_a_receipt_type,A,Annual,,
_a_receipt_type,N,None,,
_m_membership_status,A,Active,,
_m_membership_status,E,Expired,,
_m_membership_status,D,Deleted,,
_m_membership_status,C,Canceled,,
_m_member_type,M,Member,,
_m_member_type,O,Owner,,
_p_postal_mode,B,Bulk,,
_p_postal_mode,F,First Class,,
_m_list_status,A,Active,,
_m_list_status,O,Obsolete,,
_m_list_type,P,Publication,,
_m_list_type,I,Issue,,
_m_list_type,S,Selection,,
